[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Glass_Bottle_OBJ
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X -2.286100 Y 0.959600 Z 0.145500
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.022
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X 0.000000 Y 0.000000 Z 0.000000
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.001
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X 0.000000 Y -2.000000 Z 0.000000
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.002
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X 2.000000 Y 0.000000 Z 0.000000
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.003
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X 2.000000 Y -2.000000 Z 0.000000
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.004
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X -2.000000 Y 0.000000 Z 0.000000
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.005
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X -2.000000 Y -2.000000 Z 0.000000
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.006
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X 0.000000 Y 0.000000 Z -6.000000
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.007
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X 0.000000 Y -2.000000 Z -6.000000
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.008
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X 2.000000 Y 0.000000 Z -6.000000
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.009
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X 2.000000 Y -2.000000 Z -6.000000
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.010
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X -2.000000 Y 0.000000 Z -6.000000
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.011
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X -2.000000 Y -2.000000 Z -6.000000
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.012
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X 0.000000 Y 0.000000 Z 2.140600
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.013
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X 0.000000 Y -2.000000 Z 2.140600
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.014
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X 0.000000 Y 0.000000 Z -2.268100
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.015
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X 0.000000 Y -2.000000 Z -2.268100
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.016
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X -6.000000 Y 0.000000 Z 0.000000
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.017
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X -6.000000 Y -2.000000 Z 0.000000
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.018
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X -6.000000 Y 0.000000 Z -2.000000
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.019
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X -6.000000 Y -2.000000 Z -2.000000
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.020
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X -6.000000 Y 0.000000 Z 2.000000
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Model Detected: Wall_Modular.021
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	Location: X -6.000000 Y -2.000000 Z 2.000000
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[MESSAGE]	Game Level File Reading Complete.
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[MESSAGE]	Begin Importing .H2B File Data.
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Arch.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Arch_bars.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Bag_Coins.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Bag_Standing.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Banner.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Banner_wall.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Barrel.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Barrel2.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Bucket.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Chest.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Chest_Gold.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Cobweb.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Coin_Pile.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Crate.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Floor_Modular.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Glass_Bottle_OBJ.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Pedestal2.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Skull.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Sword_WallMount.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Torch.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Trapdoor.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Vase.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: Wall_Modular.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: mortar and pestle.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[INFO]	H2B Imported: objAztec.h2b
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[MESSAGE]	Importing of .H2B File Data Complete.
[Mon Aug 21 14:07:19 2023] ThreadID[29740]	[EVENT]	GAME LEVEL WAS LOADED TO CPU [DATA ORIENTED]
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	Start Program.
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	[MESSAGE]	Begin Reading Game Level Text File.
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	[INFO]	Model Detected: Floor_Modular
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	[INFO]	Location: X 0.000000 Y 0.000000 Z 0.000000
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	[INFO]	Model Detected: Floor_Modular.001
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	[INFO]	Location: X 0.000000 Y 0.000000 Z 2.000000
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	[INFO]	Model Detected: Floor_Modular.002
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	[INFO]	Location: X 2.000000 Y 0.000000 Z 2.000000
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	[INFO]	Model Detected: Floor_Modular.003
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	[INFO]	Location: X 2.000000 Y 0.000000 Z 0.000000
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	[INFO]	Model Detected: Bag_Coins
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	[INFO]	Location: X 0.000000 Y 0.091600 Z 0.000000
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	[INFO]	Model Detected: Barrel
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	[INFO]	Location: X 1.532600 Y 0.000000 Z 2.133600
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	[MESSAGE]	Game Level File Reading Complete.
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	[MESSAGE]	Begin Importing .H2B File Data.
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	[INFO]	H2B Imported: Bag_Coins.h2b
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	[INFO]	H2B Imported: Barrel.h2b
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	[INFO]	H2B Imported: Floor_Modular.h2b
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	[MESSAGE]	Importing of .H2B File Data Complete.
[Mon Aug 21 14:08:34 2023] ThreadID[29848]	[EVENT]	GAME LEVEL WAS LOADED TO CPU [DATA ORIENTED]
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	Start Program.
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[MESSAGE]	Begin Reading Game Level Text File.
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Floor_Modular
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 0.000000 Y 0.000000 Z 0.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Floor_Modular.001
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 2.000000 Y 0.000000 Z 0.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Floor_Modular.002
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 2.000000 Y 0.000000 Z -2.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Floor_Modular.003
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 0.000000 Y 0.000000 Z -2.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Floor_Modular.004
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -2.000000 Y 0.000000 Z -2.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Floor_Modular.005
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -2.000000 Y 0.000000 Z 0.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Floor_Modular.006
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -2.000000 Y 0.000000 Z 2.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Floor_Modular.007
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 0.000000 Y 0.000000 Z 2.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Floor_Modular.008
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 2.000000 Y 0.000000 Z 2.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Arch
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 3.000000 Y 0.000000 Z 0.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Arch_bars
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 2.839800 Y 0.000000 Z 0.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Chest_Gold
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -1.744200 Y 0.000000 Z 1.765200
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Bag_Coins
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -1.852700 Y 0.108900 Z 0.964000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Bag_Coins.001
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -0.852700 Y 0.108900 Z 1.964000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Bag_Coins.002
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -1.227800 Y 0.108900 Z 1.200900
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Banner_wall
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 2.556400 Y 2.831500 Z -1.599200
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Banner_wall.001
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 2.609700 Y 2.831500 Z 1.524100
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Banner_wall.002
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 3.449900 Y 2.831500 Z 1.524100
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Banner_wall.003
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 3.458300 Y 2.831500 Z -1.599200
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Banner
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -2.565700 Y 0.000000 Z 2.418400
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Cobweb
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -2.824500 Y 0.247100 Z 1.520300
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Skull
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -2.683800 Y 0.071500 Z 1.390500
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Vase
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -1.575200 Y 0.062100 Z 1.565800
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Trapdoor
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -1.922700 Y 0.138100 Z -1.940700
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Bag_Standing
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -1.176600 Y 0.078600 Z 1.647300
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Pedestal2
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -2.294500 Y 0.070500 Z 0.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Chest
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 1.934400 Y 0.000000 Z 2.470500
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Cobweb.001
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 2.578700 Y 0.164400 Z 2.840700
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: objAztec
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 0.106600 Y 0.050300 Z 2.287900
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Barrel
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -0.721600 Y 0.000000 Z -2.444900
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Barrel2
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 0.000000 Y 0.000000 Z -2.455500
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Vase.001
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -0.350900 Y 0.062100 Z -2.971200
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Bag_Coins.003
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 0.216300 Y 0.108900 Z -2.031400
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Cobweb.002
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -0.278900 Y 0.079700 Z -2.776000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Bucket
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -2.597500 Y 0.095400 Z -0.826800
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Coin_Pile
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -1.513500 Y 0.087100 Z 1.340800
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Coin_Pile.001
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -1.611300 Y 0.108300 Z 1.241300
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Coin_Pile.002
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -0.806200 Y 0.991800 Z -2.594000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Sword_WallMount
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -2.834000 Y 2.057500 Z 0.470100
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Torch
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -2.679500 Y 1.839200 Z -0.447100
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Torch.001
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 0.941000 Y 1.839200 Z 2.685600
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Crate
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 2.208800 Y 0.093000 Z -2.243400
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Cobweb.003
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 2.008000 Y 0.062200 Z -2.714100
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Skull.001
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 1.622900 Y 0.128000 Z -2.543100
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: mortar and pestle
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -2.213400 Y 0.976300 Z -0.169600
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Glass_Bottle_OBJ
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -2.286100 Y 0.959600 Z 0.145500
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.022
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 0.000000 Y 0.000000 Z 0.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.001
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 0.000000 Y -2.000000 Z 0.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.002
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 2.000000 Y 0.000000 Z 0.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.003
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 2.000000 Y -2.000000 Z 0.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.004
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -2.000000 Y 0.000000 Z 0.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.005
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -2.000000 Y -2.000000 Z 0.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.006
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 0.000000 Y 0.000000 Z -6.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.007
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 0.000000 Y -2.000000 Z -6.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.008
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 2.000000 Y 0.000000 Z -6.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.009
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 2.000000 Y -2.000000 Z -6.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.010
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -2.000000 Y 0.000000 Z -6.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.011
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -2.000000 Y -2.000000 Z -6.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.012
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 0.000000 Y 0.000000 Z 2.140600
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.013
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 0.000000 Y -2.000000 Z 2.140600
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.014
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 0.000000 Y 0.000000 Z -2.268100
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.015
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X 0.000000 Y -2.000000 Z -2.268100
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.016
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -6.000000 Y 0.000000 Z 0.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.017
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -6.000000 Y -2.000000 Z 0.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.018
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -6.000000 Y 0.000000 Z -2.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.019
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -6.000000 Y -2.000000 Z -2.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.020
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -6.000000 Y 0.000000 Z 2.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Model Detected: Wall_Modular.021
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	Location: X -6.000000 Y -2.000000 Z 2.000000
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[MESSAGE]	Game Level File Reading Complete.
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[MESSAGE]	Begin Importing .H2B File Data.
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	H2B Imported: Arch.h2b
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	H2B Imported: Arch_bars.h2b
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	H2B Imported: Bag_Coins.h2b
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	H2B Imported: Bag_Standing.h2b
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	H2B Imported: Banner.h2b
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	H2B Imported: Banner_wall.h2b
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	H2B Imported: Barrel.h2b
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	H2B Imported: Barrel2.h2b
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	H2B Imported: Bucket.h2b
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	H2B Imported: Chest.h2b
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	H2B Imported: Chest_Gold.h2b
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	H2B Imported: Cobweb.h2b
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	H2B Imported: Coin_Pile.h2b
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	H2B Imported: Crate.h2b
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	H2B Imported: Floor_Modular.h2b
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	H2B Imported: Glass_Bottle_OBJ.h2b
[Mon Aug 21 14:08:37 2023] ThreadID[29848]	[INFO]	H2B Imported: Pedestal2.h2b
